Year,Rank,Artist,Title
1978,25,The Michael Zager Band,Let's All Chant
1978,26,Linda Ronstadt,It's So Easy
1978,27,Boney M.,Belfast
1978,28,Genesis,Follow You Follow Me
1978,29,"Marshall, Hain",Dancing In The City
1978,30,Leif Garrett,Surfin' USA
1979,1,Village People,Y.M.C.A.
1979,2,Alan Sorrenti,Tu sei l'unica donna per me
1979,3,Art Garfunkel,Bright Eyes
1979,4,Umberto Tozzi,Gloria
1979,5,Cliff Richard,We Don't Talk Anymore
1979,6,Frank Mills,Music Box Dancer
1979,7,Eruption,One Way Ticket
1979,8,Boney M.,El Lute
1979,9,ABBA,Chiquitita
1979,10,Peter Alexander,Und manchmal weinst du sicher ein paar Tränen
1979,11,Blondie,Heart Of Glass
1979,12,Peter Maffay,So bist du
1979,13,M,Pop Muzik
1979,14,Donna Summer,Hot Stuff
1979,15,Frankie Miller,Darlin'
1979,16,KISS,I Was Made For Lovin' You
1979,17,Chic,Le Freak
1979,18,Pupo,Forse
1979,19,Luv',Trojan Horse
1979,20,Racey,Some Girls
1980,1,Pink Floyd,Another Brick In The Wall (Part II)
1980,2,"Lipps, Inc.",Funkytown
1980,3,Styx,Boat On The River
1980,4,Diana Ross,Upside Down
1980,5,Earth & Fire,Weekend
1980,6,Goombay Dance Band,Sun Of Jamaica
1980,7,Olivia Newton-John & Electric Light Orchestra,Xanadu
1980,8,Collage,Donna musica
1980,9,Blondie,Call Me
1980,10,Oliver Onions,Santa Maria
1980,11,Collage,S.O.S.
1980,12,Barbra Streisand,Woman In Love
1980,13,Stevie Wonder,Master Blaster (Jammin')
1980,14,Marti Webb,Take That Look Off Your Face
1980,15,ABBA,I Have A Dream
1980,16,Adriano Celentano,Il tempo se ne va
1980,17,Elton John,Little Jeanie
1980,18,Bob Marley & The Wailers,Could You Be Loved
1980,19,Madness,One Step Beyond...
1980,20,Johnny Logan,What's Another Year
1981,1,Stars On 45,Stars On 45
1981,2,Kim Carnes,Bette Davis Eyes
1981,3,Electric Light Orchestra,Hold On Tight
1981,4,Sheena Easton,For Your Eyes Only
1981,5,Phil Collins,In The Air Tonight
1981,6,Joe Dolce Music Theatre,Shaddap You Face
1981,7,Aneka,Japanese Boy
1981,8,Loretta Goggi,Maledetta primavera
1981,9,Visage,Fade To Grey
1981,10,Barclay James Harvest,Life Is For Living
1981,11,Ricchi & Poveri,Sarà perché ti amo
1981,12,John Lennon,(Just Like) Starting Over
1981,13,Telly Savalas,Some Broken Hearts Never Mend
1981,14,Olivia Newton-John,Physical
1981,15,OMD (Orchestral Manoeuvres In The Dark),Enola Gay
1981,16,Bucks Fizz,Making Your Mind Up
1981,17,Kim Wilde,Chequered Love
1981,18,Kim Wilde,Kids In America
1981,19,The Manhattan Transfer,Boy From New York City
1981,20,Stars On 45,Stars On 45 Vol. 2
1982,1,F-R David,Words
1982,2,Jon And Vangelis,I'll Find My Way Home
1982,3,Trio,Da da da ich lieb dich nicht du liebst mich nicht aha aha aha
1982,4,Shakin' Stevens,Oh Julie
1982,5,Chicago,Hard To Say I'm Sorry
1982,6,OMD (Orchestral Manoeuvres In The Dark),Maid Of Orleans (The Waltz Joan Of Arc)
1982,7,Men At Work,Down Under
1982,8,Nicole,Ein bißchen Frieden
1982,9,Steve Miller Band,Abracadabra
1982,10,Paul McCartney & Stevie Wonder,Ebony And Ivory
1982,11,Andy Borg,Adios amor
1982,12,Roni Griffith,Desire
1982,13,Spider Murphy Gang,Skandal im Sperrbezirk
1982,14,Kim Wilde,View From A Bridge
1982,15,Kim Wilde,Cambodia
1982,16,Falco,Der Kommissar
1982,17,Ph.D.,I Won't Let You Down
1982,18,Al Bano & Romina Power,Sharazan
1982,19,Peter Cornelius,Du entschuldige - i kenn' di
1982,20,Ennio Morricone,Chi mai
1983,1,Irene Cara,Flashdance ...What A Feeling
1983,2,Mike Oldfield,Moonlight Shadow
1983,3,Gazebo,I Like Chopin
1983,4,Peter Schilling,Major Tom (völlig losgelöst)
1983,5,Culture Club,Karma Chameleon
1983,6,Nena,99 Luftballons
1983,7,Michael Jackson,Billie Jean
1983,8,Toto Cutugno,L'italiano
1983,9,Tauchen Prokopetz,Codo (...düse im Sauseschritt)
1983,10,David Bowie,Let's Dance
1983,11,Robin Gibb,Juliet
1983,12,Elton John,I'm Still Standing
1983,13,Geier Sturzflug,Bruttosozialprodukt
1983,14,Rod Stewart,Baby Jane
1983,15,Genesis,Mama
1983,16,Kajagoogoo,Too Shy
1983,17,Nazareth,Dream On
1983,18,Rose Laurens,Africa (Voodoo Master)
1983,19,Trans-X,Living On Video
1983,20,Righeira,Vamos a la playa
1984,1,Laura Branigan,Self Control
1984,2,Alphaville,Big In Japan
1984,3,Talk Talk,Such A Shame
1984,4,Nino de Angelo,Jenseits von Eden
1984,5,Lionel Richie,Hello
1984,6,Frankie Goes To Hollywood,Relax
1984,7,Queen,I Want To Break Free
1984,8,Wham!,Wake Me Up Before You Go-Go
1984,9,George Michael,Careless Whisper
1984,10,RAF,Self Control
1984,11,Stevie Wonder,I Just Called To Say I Love You
1984,12,Ray Parker Jr.,Ghostbusters
1984,13,Bronski Beat,Smalltown Boy
1984,14,Howard Carpendale,Hello Again
1984,15,Alphaville,Sounds Like A Melody
1984,16,Patto,Black & White
1984,17,Chris De Burgh,High On Emotion
1984,18,Slade,My Oh My
1984,19,Nena,? (Fragezeichen)
1984,20,Cyndi Lauper,Time After Time
1984,21,Elton John,Sad Songs (Say So Much)
1984,22,Frankie Goes To Hollywood,Two Tribes
1984,23,The Flying Pickets,Only You
1984,24,Phil Collins,Against All Odds (Take A Look At Me Now)
1984,25,Queen,Radio Ga Ga
1984,26,Fiction Factory,(Feels Like) Heaven
1984,27,Real Life,Send Me An Angel
1984,28,Stefan Waggershausen & Alice,Zu nah am Feuer
1984,29,Masquerade,Guardian Angel
1984,30,Nik Kershaw,Wouldn't It Be Good
1985,1,Opus,Live Is Life
1985,2,Baltimora,Tarzan Boy
1985,3,Modern Talking,"You're My Heart, You're My Soul"
1985,4,USA For Africa,We Are The World
1985,5,Falco,Rock Me Amadeus
1985,6,Tina Turner,We Don't Need Another Hero (Thunderdome)
1985,7,Paul Hardcastle,19
1985,8,Murray Head,One Night In Bangkok
1985,9,Bad Boys Blue,You're A Woman
1985,10,Sandra,(I'll Never Be) Maria Magdalena
1985,11,Modern Talking,You Can Win If You Want
1985,12,Foreigner,I Want To Know What Love Is
1985,13,Tears For Fears,Shout
1985,14,Dead Or Alive,You Spin Me Round (Like A Record)
1985,15,Harold Faltermeyer,Axel F
1985,16,Duran Duran,A View To A Kill
1985,17,Scorpions,Still Loving You
1985,18,Kool & The Gang,Cherish
1985,19,Madonna,Into The Groove
1985,20,Round One,Theme From Rocky
1985,21,Modern Talking,"Cheri, Cheri Lady"
1985,22,Eros Ramazzotti,Una storia importante
1985,23,Cretu,Samurai
1985,24,Depeche Mode,Shake The Disease
1985,25,Frankie Goes To Hollywood,The Power Of Love
1985,26,Simple Minds,Don't You (Forget About Me)
1985,27,Duran Duran,The Wild Boys
1985,28,Raggio Di Luna (Moon Ray),Comanchero
1985,29,Band Aid,Do They Know It's Christmas?
1985,30,Moti Special,"Cold Days, Hot Nights"
1986,1,Eros Ramazzotti,Adesso tu
1986,2,Samantha Fox,Touch Me (I Want Your Body)
1986,3,Level 42,Lessons In Love
1986,4,Falco,Jeanny Part I
1986,5,Bananarama,Venus
1986,6,Elton John,Nikita
1986,7,Peter Gabriel,Sledgehammer
1986,8,Lionel Richie,"Say You, Say Me"
1986,9,Johnny Nash,Rock Me Baby
1986,10,Chris Norman,Midnight Lady
1986,11,Madonna,Live To Tell
1986,12,Münchener Freiheit,Ohne dich (schlaf ich heut Nacht nicht ein)
1986,13,Europe,The Final Countdown
1986,14,Madonna,Papa Don't Preach
1986,15,Survivor,Burning Heart
1986,16,Billy Ocean,"When The Going Gets Tough, The Tough Get Going"
1986,17,Queen,A Kind Of Magic
1986,18,Tina Turner,Typical Male
1986,19,Spagna,Easy Lady
1986,20,George Michael,A Different Corner
1986,21,Jennifer Rush,The Power Of Love
1986,22,Prince & The Revolution,Kiss
1986,23,Frankie Goes To Hollywood,Rage Hard
1986,24,Bangles,Manic Monday
1986,25,Modern Talking,Brother Louie
1986,26,Wham!,The Edge Of Heaven
1986,27,M.C. Miker 'G' & Deejay Sven,Holiday Rap
1986,28,Whitney Houston,Saving All My Love For You
1986,29,Bronski Beat,Hit That Perfect Beat
1986,30,David Bowie,Absolute Beginners
1987,1,Desireless,Voyage voyage
1987,2,Madonna,La isla bonita
1987,3,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me)
1987,4,Los Lobos,La Bamba
1987,5,Pet Shop Boys,It's A Sin
1987,6,Ferry Aid,Let It Be
1987,7,Sabrina,Boys
1987,8,Starship,Nothing's Gonna Stop Us Now
1987,9,Samantha Fox,Nothing's Gonna Stop Me Now
1987,10,Madonna,Who's That Girl
1987,11,Mel & Kim,Showing Out
1987,12,Living In A Box,Living In A Box
1987,13,John Farnham,You're The Voice
1987,14,Tozzi - Raff,Gente di mare
1987,15,Mel & Kim,Respectable
1987,16,Mixed Emotions,"You Want Love (Maria, Maria...)"
1987,17,Pepsi & Shirlie,Heartache
1987,18,Heart,Alone
1987,19,The Housemartins,Caravan Of Love
1987,20,Rick Astley,Never Gonna Give You Up
1987,21,Michael Jackson,I Just Can't Stop Loving You
1987,22,Den Harrow,Don't Break My Heart
1987,23,George Michael,I Want Your Sex
1987,24,Depeche Mode,Strangelove
1987,25,Status Quo,In The Army Now
1987,26,Sinitta,Toy Boy
1987,27,Bee Gees,You Win Again
1987,28,Erasure,Sometimes
1987,29,Level 42,Running In The Family
