Year,Rank,Artist,Title
1995,14,The Connells,'74-'75
1995,15,"Kenny ""Dope"" pres. The Bucketheads",The Bomb! (These Sounds Fall Into My Mind)
1995,16,Scatman John,Scatman's World
1995,17,East 17,Stay Another Day
1995,18,Ini Kamoze,Here Comes The Hotstepper
1995,19,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me"
1995,20,Michael Jackson,You Are Not Alone
1995,21,Bon Jovi,This Ain't A Love Song
1995,22,Adiemus,Adiemus
1995,23,Diana King,Shy Guy
1995,24,Andru Donalds,Mishale
1995,25,Snap! feat. Summer,The First The Last Eternity
1995,26,TLC,Waterfalls
1995,27,The Kelly Family,An Angel
1995,28,Michael Jackson & Janet Jackson,Scream
1995,29,Mark 'Oh,Tears Don't Lie
1995,30,Scooter,Move Your Ass!
1995,31,Edwyn Collins,A Girl Like You
1995,32,The Outhere Brothers,Boom Boom Boom
1995,33,Corona,Baby Baby
1995,34,Shaggy,Boombastic
1995,35,Die Fantastischen Vier,Sie ist weg
1995,36,La Bouche,Fallin' In Love
1995,37,Madonna,Take A Bow
1995,38,Caught In The Act,Love Is Everywhere
1995,39,Cygnet,Fourth Generation
1995,40,The Bates,Billie Jean
1995,41,Das Modul,Computerliebe
1995,42,Technohead,I Wanna Be A Hippy
1995,43,N-Trance feat. Ricardo Da Force,Stayin' Alive
1995,44,DJ BoBo,Freedom
1995,45,Janet Jackson,Whoops Now
1995,46,DJ BoBo,There Is A Party
1995,47,Seal,Kiss From A Rose
1995,48,Elton John,Circle Of Life
1995,49,Scooter,Hyper Hyper
1995,50,Take That,Never Forget
1995,51,E-Rotic,Fred Come To Bed
1995,52,Haddaway,Fly Away
1995,53,Die Ärzte,Ein Song namens Schunder
1995,54,Sin With Sebastian,Shut Up (And Sleep With Me)
1995,55,Simply Red,Fairground
1996,1,Los del Rio,Macarena
1996,2,Faithless,Insomnia
1996,3,Robert Miles,Children
1996,4,Fool's Garden,Lemon Tree
1996,5,Backstreet Boys,We've Got It Goin' On
1996,6,Fugees,Killing Me Softly (With His Song)
1996,7,Mr. President,Coco Jamboo
1996,8,Michael Jackson,They Don't Care About Us
1996,9,The Kelly Family,"I Can't Help Myself (I Love You, I Want You)"
1996,10,Harry Hasler,Saletti
1996,11,Eros Ramazzotti,Più bella cosa
1996,12,Backstreet Boys,I'll Never Break Your Heart
1996,13,Tic Tac Toe,Ich find' dich scheiße
1996,14,Gary Barlow,Forever Love
1996,15,Coolio feat. L.V.,Gangsta's Paradise
1996,16,DJ Dado,X-Files
1996,17,No Mercy,Where Do You Go
1996,18,Spice Girls,Wannabe
1996,19,Michael Jackson,Earth Song
1996,20,Céline Dion,Because You Loved Me
1996,21,3T,Anything
1996,22,Luniz,I Got 5 On It
1996,23,Backstreet Boys,Get Down (You're The One For Me)
1996,24,Everything But The Girl,Missing
1996,25,Babylon Zoo,Spaceman
1996,26,DJ BoBo,Pray
1996,27,2Pac feat. Dr. Dre,California Love
1996,27,George Michael,Jesus To A Child
1996,29,Fettes Brot,Jein
1996,30,Take That,How Deep Is Your Love
1996,30,Faithless,Salva mea
1996,32,RMB,Spring
1996,33,Peter Andre feat. Bubbler Ranx,Mysterious Girl
1996,34,Mark Morrison,Return Of The Mack
1996,35,Robert Miles,Fable
1996,36,Tina Turner,GoldenEye
1996,37,Nas,If I Ruled The World
1996,37,Neneh Cherry,Woman
1996,39,The Prodigy,Firestarter
1996,40,Adam Clayton & Larry Mullen,Theme From Mission: Impossible
1996,40,Captain Jack,Captain Jack
1996,42,OMC,How Bizarre
1996,43,B.B.E.,Seven Days And One Week
1996,44,Die Toten Hosen,Zehn kleine Jägermeister
1996,45,Skee-Lo,I Wish
1996,46,George Michael,Fastlove
1996,47,Tic Tac Toe,Funky
1996,48,Mighty Dub Kats,Magic Carpet Ride
1996,49,Mariah Carey & Boyz II Men,One Sweet Day
1996,50,Gotthard,"He Ain't Heavy, He's My Brother"
1996,51,Alanis Morissette,Ironic
1996,52,Hand In Hand For Children,Children
1996,53,DJ BoBo,Love Is The Price
1996,54,Double Vision,Knockin'
1996,55,Mr. President,I Give You My Heart
1997,1,Sarah Brightman & Andrea Bocelli,Time To Say Goodbye (Con te partirò)
1997,2,Puff Daddy & Faith Evans feat. 112,I'll Be Missing You
1997,3,R. Kelly,I Believe I Can Fly
1997,3,Khaled,Aïcha
1997,5,En Vogue,Don't Let Go (Love)
1997,5,No Doubt,Don't Speak
1997,7,Toni Braxton,Un-Break My Heart
1997,8,Andrea Bocelli & Judy Weiss,Vivo per lei - Ich lebe für sie
1997,9,Ricky Martin,Maria
1997,10,Hanson,MmmBop
1997,11,Eternal feat. Bebe Winans,I Wanna Be The Only One
1997,12,No Mercy,When I Die
1997,13,Bellini,Samba de Janeiro
1997,14,Coolio feat. 40 Thevz,C U When U Get There
1997,15,Skunk Anansie,Hedonism (Just Because You Feel Good)
1997,16,Will Smith,Men In Black
1997,17,Tic Tac Toe,Warum?
1997,18,R. Kelly,Gotham City
1997,19,Backstreet Boys,Everybody (Backstreet's Back)
1997,20,C-Block,So Strung Out
1997,21,Elton John,Something About The Way You Look Tonight / Candle In The Wind 1997
1997,22,Madonna,Don't Cry For Me Argentina
1997,23,Nana,Lonely
1997,24,Bee Gees,Alone
1997,25,Sabrina Setlur,Du liebst mich nicht
1997,26,Meredith Brooks,Bitch
1997,26,The Blue Boy,Remember Me
1997,28,'N Sync,Tearin' Up My Heart
1997,29,Ultra Naté,Free
1997,30,Babyface feat. Stevie Wonder,"How Come, How Long"
1997,31,Spice Girls,Who Do You Think You Are / Mama
1997,32,Mr. President,Jojo Action
1997,33,DJ Quicksilver,I Have A Dream
1997,34,Aqua,Barbie Girl
1997,35,The Prodigy,Breathe
1997,36,3T,I Need You
1997,37,Chilli feat. Carrapicho,"Tic, Tic Tac"
1997,38,Backstreet Boys,Anywhere For You
1997,39,Members Of Mayday,Sonic Empire
1997,40,Tic Tac Toe,Verpiss' Dich
1997,41,Michael Jackson,Blood On The Dance Floor
1997,42,Backstreet Boys,As Long As You Love Me
1997,42,Blackstreet feat. Dr. Dre,No Diggity
1997,44,The Verve,Bitter Sweet Symphony
1997,45,Sash! feat. Rodriguez,Ecuador
1997,46,Xzibit,Paparazzi
1997,47,Aaron Carter,Crush On You
1997,48,'N Sync,I Want You Back
1997,49,Brooklyn Bounce,The Theme (Of Progressive Attack)
1997,50,Lutricia McNeal,Ain't That Just The Way
1998,1,Céline Dion,My Heart Will Go On
1998,2,Run-D.M.C. vs. Jason Nevins,It's Like That
1998,3,Pras Michel feat. ODB & intr. Mýa,Ghetto Supastar (That Is What You Are)
1998,4,Oli. P,Flugzeuge im Bauch
1998,5,Aerosmith,I Don't Want To Miss A Thing
1998,6,Madonna,Frozen
1998,7,Natalie Imbruglia,Torn
1998,8,Loona,Bailando
1998,9,Ricky Martin,La copa de la vida
1998,10,4 The Cause,Stand By Me
1998,11,Puff Daddy feat. Jimmy Page,Come With Me
1998,12,Des'ree,Life
1998,13,Brandy & Monica,The Boy Is Mine
1998,14,Lighthouse Family,High
1998,15,Die Ärzte,Ein Schwein namens Männer
1998,16,Spice Girls,Viva Forever
1998,17,Janet Jackson,Together Again
1998,18,Cher,Believe
1998,19,Aqua,Barbie Girl
1998,20,Wes,Alane
1998,21,Boyzone,No Matter What
1998,22,Céline Dion with the Bee Gees,Immortality
1998,23,Eros Ramazzotti & Tina Turner,Cose della vita - Can't Stop Thinking Of You
1998,24,All Saints,Never Ever
1998,25,Nek,Laura non c'è
1998,26,Falco,Out Of The Dark
1998,27,Faithless,God Is A DJ
1998,28,Elton John,Something About The Way You Look Tonight / Candle In The Wind 1997
1998,29,Dario G,Sunchyme
1998,30,Los Umbrellos,No tengo dinero
1998,31,Pappa Bear feat. Van der Toorn,Cherish
1998,32,Barbra Streisand & Céline Dion,Tell Him
1998,33,Savage Garden,Truly Madly Deeply
1998,34,Espen Lind,When Susannah Cries
1998,35,Modern Talking,"You're My Heart, You're My Soul '98"
1998,36,Robbie Williams,Angels
1998,37,Mellowbag & Freundeskreis feat. Mr. Gentleman,Tabula Rasa
1998,38,Christian Wunderlich,That's My Way To Say Goodbye
1998,39,K-Ci & JoJo,All My Life
1998,40,Eagle-Eye Cherry,Save Tonight
1998,41,Mariah Carey,My All
1998,42,DJ BoBo,Where Is Your Love
1998,43,Jamiroquai,Deeper Underground
1998,44,Gölä,Keini Träne meh
1998,45,Sweetbox,Everything's Gonna Be Alright
1998,46,Bell Book & Candle,Rescue Me
1998,47,Kisha,Why?
1998,48,Stardust,Music Sounds Better With You
1998,49,Music Instructor feat. Flying Steps,Super Sonic
1998,50,2-4 Family,Stay
1999,1,Lou Bega,Mambo No. 5 (A Little Bit Of...)
1999,2,Eiffel 65,Blue (Da Ba Dee)
1999,3,Britney Spears,...Baby One More Time
1999,4,Emilia,Big Big World
1999,5,Whitney Houston,My Love Is Your Love
1999,6,Mariah Carey & Whitney Houston,When You Believe
1999,7,Backstreet Boys,I Want It That Way
1999,8,Cher,Believe
1999,9,Will Smith,Wild Wild West
1999,10,Christina Aguilera,Genie In A Bottle
1999,11,Liquido,Narcotic
1999,12,2Pac,Changes
1999,13,Die Fantastischen Vier,MfG (Mit freundlichen Grüßen)
1999,14,Oli. P,So bist du (und wenn Du gehst...)
1999,15,Jennifer Lopez,If You Had My Love
1999,16,The Offspring,Pretty Fly (For A White Guy)
1999,17,Tarkan,Şimarik
1999,18,Ricky Martin,Livin' la vida loca
1999,19,Will Smith,Miami
1999,20,Blondie,Maria
1999,21,Loona,Hijo de la luna
1999,22,Xavier Naidoo,Sie sieht mich nicht
1999,23,TLC,No Scrubs
1999,24,Mr. Oizo,Flat Beat
1999,25,Touch And Go,Would You...?
1999,26,Boyzone,No Matter What
1999,27,Subzonic,Titelgschicht
1999,28,Texas,Summer Son
1999,29,Andru Donalds,All Out Of Love
1999,30,Shania Twain,That Don't Impress Me Much
1999,31,Bloodhound Gang,The Bad Touch
1999,32,Sasha,If You Believe
1999,33,Sara @ Tic Tac Two,Nie wieder
1999,34,Loona,Mamboleo
1999,35,Gölä,I hätt no viu blöder ta
1999,36,Britney Spears,(You Drive Me) Crazy
1999,37,Wamdue Project,King Of My Castle
1999,38,Britney Spears,Sometimes
1999,39,Cher,Strong Enough
1999,40,R. Kelly,If I Could Turn Back The Hands Of Time
1999,41,Phats & Small,Turn Around
1999,42,Sixpence None The Richer,Kiss Me
1999,43,2-4 Family,Lean On Me (With The Family)
1999,44,Fusion,China In Your Hand
1999,45,Madonna,Beautiful Stranger
1999,46,Jay-Z,Hard Knock Life (Ghetto Anthem)
1999,47,Music Instructor feat. Abe,Get Freaky
1999,48,Blue Nature,A Life So Changed
1999,49,DJ BoBo,Together
1999,50,Spike,Respect
2000,1,Bomfunk MCs,Freestyler
2000,2,Santana feat. The Product G&B,Maria Maria
2000,3,Bon Jovi,It's My Life
2000,4,Anastacia,I'm Outta Love
2000,5,Eminem,The Real Slim Shady
2000,6,Modjo,Lady (Hear Me Tonight)
2000,7,Britney Spears,Oops!... I Did It Again
2000,8,"Melanie C feat. Lisa ""Left Eye"" Lopes",Never Be The Same Again
2000,9,R. Kelly,If I Could Turn Back The Hands Of Time
2000,10,Tom Jones and Mousse T.,Sex Bomb
2000,11,Madonna,American Pie
2000,12,Sonique,It Feels So Good
2000,13,Whitney Houston & Enrique Iglesias,Could I Have This Kiss Forever
2000,14,Yannick,Ces soirées là
2000,15,Anton feat. DJ Ötzi,Anton aus Tirol
2000,16,ATC,Around The World (La La La La La)
2000,17,Sting feat. Cheb Mami,Desert Rose
2000,18,Rednex,The Spirit Of The Hawk
2000,19,Madonna,Music
2000,20,Eiffel 65,Move Your Body
2000,21,Vengaboys,Shalala Lala
2000,22,French Affair,My Heart Goes Boom (La Di Da Da)
2000,23,Britney Spears,Born To Make You Happy
2000,24,Melanie C,I Turn To You
2000,25,Britney Spears,Lucky
2000,26,Moby,Why Does My Heart Feel So Bad?
2000,27,Limp Bizkit,Take A Look Around
2000,28,Alizée,Moi... Lolita
2000,29,Mauro Picotto,Komodo
2000,30,"Lasso feat. Dani, Grosha & Matete",Bisch parat?
2000,31,Metallica,Nothing Else Matters
2000,32,S Club 7,Bring It All Back
2000,33,Toni Braxton,He Wasn't Man Enough
2000,34,All Saints,Pure Shores
2000,35,Backstreet Boys,Shape Of My Heart
2000,36,Jessica Simpson,I Wanna Love You Forever
2000,37,Aaliyah,Try Again
2000,38,Laura,Immer wieder
2000,39,Stefan Raab,Maschen-Draht-Zaun
2000,40,Orange Blue,She's Got That Light
2000,41,Ricky Martin feat. Meja,Private Emotion
2000,42,Jennifer Lopez,Let's Get Loud
2000,43,Céline Dion,That's The Way It Is
2000,44,*N Sync,Bye Bye Bye
2000,45,Spiller,Groovejet (If This Ain't Love)
2000,46,Subzonic,Titelgschicht
2000,47,Backstreet Boys,Show Me The Meaning Of Being Lonely
2000,48,Eros Ramazzotti,Fuoco nel fuoco
2000,49,Sisqó,Thong Song
2000,50,Zlatko,Ich vermiss' dich... (wie die Hölle)
2000,51,Mary Mary,Shackles (Praise You)
2000,52,Darude,Sandstorm
2000,53,Reamonn,Supergirl
2000,54,Jan Delay a. k. a. Eissfeldt feat. Dennis Dubplate / Absolute Beginner,"Irgendwie, irgendwo, irgendwann"
2000,55,Loona,Latino Lover
2000,56,Gabrielle,Rise
2000,57,Die 3. Generation,Leb!
2000,58,Paola & Chiara,Vamos a bailar (esta vida nueva)
2000,59,Robbie Williams,Rock DJ
2000,60,Macy Gray,I Try
2000,61,Highland,Bella stella
2000,62,Philippe D'Avilla / Damien Sargue / Grégori Baquet,Les rois du monde
2000,63,Band ohne Namen,Take My Heart
2000,64,Gotthard,Heaven
2000,65,Ayman,Mein Stern
2000,66,Craig David,7 Days
2000,67,Gigi D'Agostino,The Riddle
2000,67,Bob Marley feat. Lauryn Hill,Turn Your Lights Down Low
2000,69,Oli. P,So bist du (und wenn Du gehst...)
2000,70,Five + Queen,We Will Rock You
2000,71,Vanessa Amorosi,Absolutely Everybody
2000,72,Ronan Keating,Life Is A Rollercoaster
2000,73,Enrique Iglesias,Rhythm Divine
2000,74,Lara Fabian,I Will Love Again
2000,75,Puff Daddy feat. R. Kelly,Satisfy You
2000,76,Prezioso feat. Marvin,Tell Me Why
2000,77,Aqua,Cartoon Heroes
2000,78,Lenny Kravitz,Again
2000,79,HIM,Join Me
2000,80,Eiffel 65,Blue (Da Ba Dee)
2000,81,Zlatko & Jürgen,Großer Bruder
2000,82,Ricky Martin,She Bangs
2000,83,Bloodhound Gang,The Bad Touch
2000,84,Christina Aguilera,What A Girl Wants
2000,85,U2,Beautiful Day
2000,86,Blink 182,All The Small Things
2000,87,Christina Aguilera,Come On Over Baby (All I Want Is You)
2000,88,ATC,My Heart Beats Like A Drum (Dam Dam Dam)
2000,89,The Corrs,Breathless
2000,90,The Underdog Project,Summer Jam
2000,91,Marc Anthony,You Sang To Me
2000,92,Gotthard,Merry X-Mas
2000,93,Mariah Carey,Against All Odds
2000,94,Superfunk feat. Ron Carroll,Lucky Star
2000,95,Santana feat. Rob Thomas,Smooth
2000,96,Söhne Mannheims,Geh davon aus...
2000,97,Manu Chao avec Anouk,Bongo Bong - Je ne t'aime plus
2000,98,Marc Anthony,I Need To Know
2000,99,Montell Jordan,Get It On Tonite
2000,100,a-ha,Summer Moved On
2001,1,Kylie Minogue,Can't Get You Out Of My Head
2001,2,Safri Duo,Played-A-Live (The Bongo Song)
2001,3,Eminem feat. Dido,Stan
2001,4,Shaggy feat. Rayvon,Angel
2001,5,"Christina Aguilera, Mya, Lil' Kim, P!nk",Lady Marmalade
2001,6,Eve feat. Gwen Stefani,Let Me Blow Ya Mind
2001,7,Crazy Town,Butterfly
2001,8,Enya,Only Time
2001,9,Mary J Blige,Family Affair
2001,10,Alicia Keys,Fallin'
2001,11,Zucchero Sugar Fornaciari,Baila (Sexy Thing)
2001,12,No Angels,Daylight In Your Eyes
2001,13,Enrique Iglesias,Hero
2001,14,Geri Halliwell,It's Raining Men
2001,15,Nelly Furtado,Turn Off The Light
2001,16,Atomic Kitten,Whole Again
2001,17,Shaggy feat. RikRok,It Wasn't Me
2001,18,Gorillaz,Clint Eastwood
2001,19,Ricky Martin with Christina Aguilera,Nobody Wants To Be Lonely
2001,20,Dante Thomas feat. Pras,Miss California
2001,21,No Angels,There Must Be An Angel
2001,22,Wheatus,Teenage Dirtbag
2001,23,Afroman,Because I Got High
2001,24,Outkast,Ms. Jackson
2001,25,Jennifer Lopez,Love Don't Cost A Thing
2001,26,Brandy and Ray J,Another Day In Paradise
2001,27,LeAnn Rimes,Can't Fight The Moonlight
2001,28,S Club 7,Don't Stop Movin'
2001,29,Destiny's Child,Survivor
2001,30,Destiny's Child,Independent Women Part I
2001,31,Uncle Kracker,Follow Me
2001,32,Faith Hill,There You'll Be
2001,33,Lil Bow Wow,Bow Wow (That's My Name)
2001,34,Barthezz,On The Move
2001,35,Daft Punk,One More Time
2001,36,Bligg feat. Emel,Alles scho mal ghört
2001,37,Alcazar,Crying At The Discoteque
2001,38,Gotthard,Heaven
2001,39,Alien Ant Farm,Smooth Criminal
2001,40,Eve,Who's That Girl?
2001,41,Manu Chao,Me gustas tu
2001,42,DJ BoBo & Irene Cara,What A Feeling
2001,43,Tears,M.U.S.I.C.
2001,44,Dido,Here With Me
2001,45,Robbie Williams,Supreme
2001,46,Janet Jackson,All For You
2001,47,Garou,Seul
2001,48,Baha Men,Who Let The Dogs Out
2001,49,Michael Jackson,You Rock My World
2001,50,Bosson,One In A Million
2001,51,Robbie Williams,Eternity
2001,52,R. Kelly feat. Jay-Z and Boo & Gotti,Fiesta (Remix)
2001,53,Gabrielle,Out Of Reach
2001,54,R. Kelly,The Storm Is Over Now
2001,55,Sarah Connor feat. TQ,Let's Get Back To Bed - Boy!
2001,56,Spooks,Things I've Seen
2001,57,Jennifer Lopez,I'm Real
2001,58,Sarah Connor,From Sarah With Love
2001,59,Atomic Kitten,Eternal Flame
2001,60,Xzibit,X
2001,61,King Africa,La bomba
2001,62,Wyclef Jean feat. Mary J Blige,911
2001,63,Jennifer Lopez,Ain't It Funny
2001,64,Anastacia,Paid My Dues
2001,65,Lil' Kim feat. Phil Collins,In The Air Tonite
2001,66,Usher,U Remind Me
2001,67,City High,What Would You Do?
2001,68,Britney Spears,I'm A Slave 4 U
2001,69,Sugababes,Overload
2001,70,Garou & Céline Dion,Sous le vent
2001,71,O-Town,All Or Nothing
2001,72,Roger Sanchez,Another Chance
2001,73,Sisqó,Dance For Me
2001,74,Modjo,Lady (Hear Me Tonight)
2001,75,Jennifer Lopez,Play
2001,76,Wu-Tang Clan,Gravel Pit
2001,77,Destiny's Child,Bootylicious
2001,78,Gigi D'Agostino,La passion
2001,79,Titiyo,Come Along
2001,80,A*Teens,Upside Down
2001,80,M.O.P.,Ante Up (Remix) / Cold As Ice
2001,82,Alizée,Moi... Lolita
2001,83,Da Muttz,Wassuup!
2001,84,Samy Deluxe,Weck mich auf
2001,85,Christian,Es ist geil ein Arschloch zu sein
2001,86,Nelly Furtado,I'm Like A Bird
2001,87,Westlife,Uptown Girl
2001,88,Dario G,Dream To Me
2001,89,Madonna,Don't Tell Me
2001,90,Britney Spears,Stronger
2001,91,Shaggy,"Luv Me, Luv Me"
2001,92,Mittermeier vs. Guano Babes,Kumba Yo!
2001,93,Modjo,Chillin'
2001,94,Backstreet Boys,Drowning
2001,95,Samantha Mumba,Gotta Tell You
2001,96,Foxy Brown,Oh Yeah
2001,97,Brothers Keepers,Adriano (Letzte Warnung)
2001,98,Britney Spears,Don't Let Me Be The Last To Know
2001,99,Tiziano Ferro,Xdono
2001,100,MC Solaar,Solaar pleure
2002,1,Las Ketchup,The Ketchup Song (Aserejé)
2002,2,Shakira,Whenever Wherever
2002,3,Eminem,Without Me
2002,4,Shakira,Underneath Your Clothes
2002,5,Elvis Presley vs. JXL,A Little Less Conversation
2002,6,Nelly feat. Kelly Rowland,Dilemma
2002,7,Tiziano Ferro,Xdono
2002,8,Sarah Connor,From Sarah With Love
2002,9,Avril Lavigne,Complicated
2002,10,P. Diddy feat. Usher & Loon,I Need A Girl (Part One)
2002,11,Anastacia,Paid My Dues
2002,12,Garou & Céline Dion,Sous le vent
2002,13,Nickelback,How You Remind Me
2002,14,Robbie Williams & Nicole Kidman,Somethin' Stupid
2002,15,Bro'Sis,I Believe
2002,16,Jennifer Lopez,I'm Gonna Be Alright
2002,17,Truth Hurts feat. Rakim,Addictive
2002,18,P!nk,Get The Party Started
2002,19,Marilyn Manson,Tainted Love
2002,20,Vanessa Carlton,A Thousand Miles
2002,21,Fat Joe feat. Ashanti,What's Luv?
2002,22,Christina Aguilera feat. Redman,Dirrty
2002,23,Rohff,Qui est l'exemple?
2002,24,Herbert Grönemeyer,Mensch
2002,25,Kate Winslet,What If
2002,26,Kylie Minogue,Can't Get You Out Of My Head
2002,27,Enrique Iglesias,Hero
2002,28,Mad'House,Like A Prayer
2002,29,DJ Tatana,Words
2002,30,Red Hot Chili Peppers,By The Way
2002,31,Melanie Thornton,Wonderful Dream (Holidays Are Coming)
2002,32,Will Smith intr. Tra-Knox,Black Suits Comin' (Nod Ya Head)
2002,33,t.A.T.u.,All The Things She Said
2002,34,Sophie Ellis-Bextor,Murder On The Dancefloor
2002,35,The Calling,Wherever You Will Go
2002,36,Alicia Keys,Fallin'
2002,37,Atomic Kitten,It's OK!
2002,37,Wonderwall,Just More
2002,39,Indochine,J'ai demandé à la lune
2002,40,David Guetta feat. Chris Willis,"Love, Don't Let Me Go"
2002,41,Céline Dion,I'm Alive
2002,42,Kate Ryan,Désenchantée
2002,43,Céline Dion,A New Day Has Come
2002,44,Madonna,Die Another Day
2002,45,Billy Crawford,Trackin'
2002,46,P!nk,Don't Let Me Get Me
2002,47,Ja Rule feat. Ashanti,Always On Time
2002,48,Nelly,Hot In Herre
2002,49,Bratisla Boys,Stach Stach
2002,50,P!nk,Just Like A Pill
2002,51,Stefan Raab,Wir kiffen!
2002,52,Chad Kroeger feat. Josey Scott,Hero
2002,53,Jennifer Lopez,I'm Real
2002,54,Afroman,Because I Got High
2002,55,David Charvet,Leap Of Faith
2002,56,Ronan Keating,If Tomorrow Never Comes
2002,57,Jennifer Lopez feat. Ja Rule & Caddillac Tah,Ain't It Funny (Murder Remix)
2002,58,Sugababes,Round Round
2002,59,Eminem,Cleanin' Out My Closet
2002,60,R. Kelly,The World's Greatest
2002,61,Atomic Kitten,The Tide Is High (Get The Feeling)
2002,62,Tears,M.U.S.I.C.
2002,63,No Angels,Something About Us
2002,64,Anastacia,One Day In Your Life
2002,65,In-Grid,Tu es foutu
2002,66,George Michael,Freeek!
2002,67,Eve feat. Alicia Keys,Gangsta Lovin'
2002,68,Mary J Blige,Family Affair
2002,69,Ben feat. Gim,Engel
2002,70,Kylie Minogue,In Your Eyes
2002,71,Enrique Iglesias,Escape
2002,72,Jennifer Lopez feat. Jadakiss and Styles,Jenny From The Block
2002,73,No Angels,Still In Love With You
2002,74,Ozzy Osbourne,Dreamer
2002,75,Lenny Kravitz,Believe In Me
2002,76,Bryan Adams,Here I Am
2002,77,Anastacia,Boom
2002,78,Scooter,Nessaja
2002,79,Bon Jovi,Everyday
2002,80,Brandy,What About Us?
2002,81,Britney Spears,I Love Rock 'n' Roll
2002,82,Ashanti,Foolish
2002,83,Love United,Live For Love United
2002,84,Alanis Morissette,Hands Clean
2002,85,Holly Valance,Kiss Kiss
2002,86,U2,Electrical Storm
2002,87,Johnny Hallyday,Marie
2002,88,Tears,Dreamin'
2002,88,Usher,U Got It Bad
2002,90,MC Solaar,Inch'Allah
2002,91,Britney Spears,"I'm Not A Girl, Not Yet A Woman"
2002,92,Tiziano Ferro,Imbranato
2002,93,DJ Energy,Peace (Street Parade 2002)
2002,94,Sheryl Crow,Soak Up The Sun
2002,95,Kylie Minogue,Love At First Sight
2002,96,Galleon,So I Begin
2002,97,Enya,Only Time
2002,98,Mariah Carey,Through The Rain
2002,99,Christina Milian,When You Look At Me
2002,100,Star Academy,La musique
2003,1,DJ BoBo,Chihuahua
2003,2,The Black Eyed Peas,Where Is The Love?
2003,3,Sean Paul,Get Busy
2003,4,Outlandish,Aicha
2003,5,Dido,White Flag
2003,6,RZA feat. Xavier Naidoo,Ich kenne nichts (das so schön ist wie du)
2003,7,Lumidee,Never Leave You (Uh-Oooh)
2003,8,50 Cent,In Da Club
2003,9,Yvonne Catterfeld,Für dich
2003,10,The Rasmus,In The Shadows
2003,11,Beyoncé,Crazy In Love
2003,12,Eminem,Lose Yourself
2003,13,Evanescence,Bring Me To Life
2003,14,Gloria Estefan,Wrapped
2003,15,Blu Cantrell feat. Sean Paul,Breathe
2003,16,One-T + Cool-T,The Magic Key
2003,17,Shania Twain,Ka-Ching!
2003,18,Mia Aegerter,Hie u jetzt - Right Here Right Now
2003,19,Alphonse Brown,Le frunkp
2003,20,Lorie,Sur un air latino
2003,21,t.A.T.u.,All The Things She Said
2003,22,Overground,Schick mir 'nen Engel
2003,23,Stacie Orrico,Stuck
2003,24,B2K and P. Diddy,"Bump, Bump, Bump"
2003,25,Busta Rhymes and Mariah Carey feat. The Flipmode Squad,I Know What You Want
2003,26,Blue feat. Elton John,Sorry Seems To Be The Hardest Word
2003,27,50 Cent,P.I.M.P.
2003,28,Florian Ast & Francine Jordi,Träne
2003,29,Beyoncé feat. Sean Paul,Baby Boy
2003,30,Alexander,Free Like The Wind
2003,31,Alexander,Take Me Tonight
2003,32,Eros Ramazzotti,Un'emozione per sempre
2003,33,Panjabi MC,Mundian to bach ke
2003,34,Panjabi MC,Jogi
2003,35,Robbie Williams,Feel
2003,36,Nena & Kim Wilde,"Anyplace, Anywhere, Anytime"
2003,37,Chimène Badi,Entre nous
2003,38,Sean Paul,Like Glue
2003,39,Blue,U Make Me Wanna
2003,40,Jonatan Cerrada,Je voulais te dire que je t'attends
2003,41,Lorna,Papi Chulo... te traigo el mmmm
2003,42,DJ Ötzi feat. Eric Dikeb,Burger Dance
2003,43,Craig David feat. Sting,Rise & Fall
2003,44,Christina Aguilera feat. Lil' Kim,Can't Hold Us Down
2003,45,Las Ketchup,The Ketchup Song (Aserejé)
2003,46,Florian Ast,Schöni Meitschi
2003,47,Diam's,DJ
2003,48,Nelly / P. Diddy / Murphy Lee,Shake Ya Tailfeather
2003,49,Junior Senior,Move Your Feet
2003,50,Jay-Z feat. Beyoncé Knowles,'03 Bonnie And Clyde
2003,51,Sugababes,Hole In The Head
2003,52,Ja Rule,Reign
2003,53,Star Academy 3,La bamba
2003,54,Florent Pagny,Ma liberté de penser
2003,55,Star Academy 2,Paris-Latino
2003,56,Sarah Connor feat. Naturally 7,Music Is The Key
2003,57,KCPK,We Will Rock You (Remix)
2003,58,Signorino TJ,È'così com'è
2003,59,Eminem,Sing For The Moment
2003,60,Madonna,American Life
2003,61,Céline Dion,Tout l'or des hommes
2003,62,Britney Spears feat. Madonna,Me Against The Music
2003,63,Tragedie,Hey Oh
2003,64,Seal,Love's Divine
2003,65,Nolwenn Leroy,Cassé
2003,66,Christina Aguilera,Beautiful
2003,67,Thierry Amiel,Les mots bleus
2003,68,P!nk,Trouble
2003,69,Pascal Obispo,Fan
2003,70,Deutschland sucht den Superstar,We Have A Dream
2003,71,Nelly feat. Kelly Rowland,Dilemma
2003,72,"Snoop Dogg feat. Pharrell, Uncle Charlie Wilson",Beautiful
2003,73,Jennifer Lopez feat. LL Cool J,All I Have
2003,74,Jocelyne Labylle & Cheela feat. Jacob Desvarieux & Passi,Laisse parler les gens
2003,75,Atomic Kitten,If You Come To Me
2003,76,P!nk feat. William Orbit,Feel Good Time
2003,77,Christina Aguilera,Fighter
2003,78,Jeanette,Rockin' On Heaven's Floor
